УПРАВЛЕНИЕ ВЕТЕРИНАРИИ С ВИЛ ВЕРХНЕВИЛЮЙСКОГО УЛУСА (РАЙОНА) ГБУ;1407000214
"ГКУ РС(Я) ""Верхневилюйское лесничество""";1407001000
"ГБПОУ РС (Я) ""Верхневилюйский техникум""";1407001049
ГБОУ РС(Я) ВВРЛИ им.М.А.Алексеева;1407001271
"ГБУ РС(Я) ""Верхневилюйская центральная районная больница""";1407001881
ВУОООО ЯРО ВОИ;1407003215
ОМВД России по Верхневилюйскому району;1407003254
"МБОУ ""Кэнтикская СОШ""";1407004177
МБОУ «Намская СОШ»;1407004219
ФРМП ВЕРХНЕВИЛЮЙСКОГО УЛУСА;1407004240
ГКУ ВВЦССВ им. Седалищева;1407004321
"МБОУ ""Тобуинская СОШ""";1407004339
МБОУ «Оросунская СОШ»;1407004346
МБОУ «Балаганнахская ООШ»;1407004360
"МБОУ ""Хомустахская ООШ-ДС им Н.А.Габышева""";1407004378
МБОУ «Мэйикская ООШ»;1407004385
МБОУ «Далырская СОШ»;1407004402
"МБОУ ""Магасская СОШ""";1407004410
"МБОУ ""Тамалаканская СОШ""";1407004427
Тамалакан СОШ МБОУ;1407004427
"МБОУ ""Кудунская школа-сад""";1407004434
"МБОУ ""ВВСОШ №2 им. М.Т.Егорова""";1407004441
"МБОУ ""Онхойская ООШ""";1407004459
МБОУ «Ботулинская СОШ»;1407004466
"МБОУ ""Оргетская СОШ""";1407004473
МБОУ «Сургулукская СОШ»;1407004480
МБОУ «Харбалахская СОШ»;1407004498
МБОУ ВВСОШ №4;1407004522
"МБОУ ""ВВССОШ им. Ю.Н.Прокопьева""";1407004530
"МБОУ ""Быраканская ООШ""";1407004554
"МБОУ ""ВВСОШ им. И.Н.Барахова""";1407004561
МБОУ «Хоринская СОШ»;1407004579
"МБДОУ ""Туллукчаан-От""";1407004603
"МБДОУ ""Чэчир"" с. Онхой";1407004610
ЦРР - Д/С ТУГУТЧААН МБДОУ;1407004628
ЦРР - Д/С №3 УРУЙЭЧЭЭН МБДОУ;1407004635
ЦРР - Д/С КЭСКИЛ МБДОУ;1407004642
"МБДОУ-ДЕТСКИЙ САД ""СИИБИКТЭ""";1407004650
"МБДОУ ""Кэнчээри"" с. Нам";1407004667
"МБДОУ Д/С ""САЙЫЫНА""";1407004709
"МБДОУ ЦРР ДС ""Кустук"" с. Дюллюкю";1407004716
ДЕТСКИЙ САД №4 САРДААНА МБДОУ;1407004723
ДЕТСКИЙ САД ЧУОРААНЧЫК МБДОУ;1407004730
ЦРР - ДЕТСКИЙ САД №2 ТЕРЕМОК МБДОУ;1407004748
"МБДОУ ДС №6""Солнышко""";1407004755
"МБДОУ ЦРР ДС №8""Аленушка""";1407004762
"МБДОУ ЦРР ДС №7""Сказка""";1407004770
"МБДОУ ЦРР ДС №5 ""Кэнчээри""";1407004787
"МБДОУ ДС ""Кунчээн""";1407004794
ДЕТСКИЙ САД № 9 ТУЛЛУКЧААН МБДОУ (НЕ СУЩЕСТВУЕТ!);1407004804
МБДОУ ТУСКУЛ ДАЛЫР;1407004811
ТАНЮША МБДОУ;1407004829
"МБДОУ ЦРР ДС №1""Ньургусун""";1407004843
ХАТЫНЧААНА МБДОУ;1407004868
"МБУ ДО ""ДЮСШ""";1407004963
"МБУ ДО-ЦДТ ""Тускул""";1407005131
ВЕРХНЕВИЛЮЙСКИЙ УЛУСНЫЙ ПРОФСОЮЗ РАБОТНИКОВ ОБРАЗОВАНИЯ И НАУКИ РФ;1407005156
"Администрация МР ""Верхневилюйский улус(район)""";1407005163
"МБУ ДО ""Центр народной педагогики им. К.С. Чиряева""";1407005170
"МКУ ""Управление образования""";1407005540
ПРОФСОЮЗ РАБОТНИКОВ КУЛЬТУРЫ ВЕРХНЕВИЛЮЙСКОГО УЛУСА;1407005607
"МКУ ВВ МЦ БС ""Верхневилюйская межпоселенческая централизованная библиотечная система""";1407005660
"МБУ ""Музей истории и этнографии""";1407005692
"наслежная администрация МО ""Едюгейский наслег""";1407005935
"АДМИНИСТРАЦИЯ МО ""БОТУЛУНСКИЙ НАСЛЕГ""";1407005942
"Администрация МО ""Хоринский наслег""";1407005950
"Администрация ""Магасский наслег""";1407005967
"АДМИНИСТРАЦИЯ МО ""ДЮЛЛЮКИНСКИЙ НАСЛЕГ""";1407005974
"Администрация МО ""Балаганнахский наслег""";1407005981
"Администрация МО ""Кэнтикский наслег""";1407005999
МБУ ДО ДШИ им. Н.И.Бойлохова;1407006008
"АДМИНИСТРАЦИЯ МО ""ДАЛЫРСКИЙ НАСЛЕГ""";1407006015
"Администрация МО ""Сургулукский наслег""";1407006022
"АДМИНИСТРАЦИЯ МО ""ХОМУСТАХСКИЙ НАСЛЕГ""";1407006030
"АДМИНИСТРАЦИЯ МО ""МЭЙИКСКИЙ НАСЛЕГ""";1407006047
"Администрация МО ""Харбалахский наслег""";1407006054
"АДМИНИСТРАЦИЯ МО ""ТАМАЛАКАНСКИЙ НАСЛЕГ""";1407006061
"Наслежная администрация сельского поселения  ""Верхневилюйский наслег""";1407006079
"АДМИНИСТРАЦИЯ МО ""ОНХОЙСКИЙ НАСЛЕГ""";1407006086
"Администрация МО ""Оросунский наслег""";1407006093
"Администрация МО ""Кырыкыйский наслег""";1407006110
